Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
2907,tramadol,1,Ineffective,Extremely Severe Side Effects,shingles pain,none though suffering terrible pain shingles drug cause severe adverse reaction necessitated calling ambulance created sever pain another site entirely effectively doubled trouble,"severe upper gastro-intestinal stomach cramps consistent with biliary colic. the pain is so severe that it requires constant movement, there is a tightening sensation round the diaphragm which can easily be confused with the pain of a heart attack.",prescribed deal severe neuralgic pain shingles stopped treatment adverse reaction
916,paxil,4,Marginally Effective,Moderate Side Effects,bipolar disorder,minimize manic depression patient problems work ca sleep well drug helped calm patient becoming relaxed able deal normal work load,"low energy, missing high, also has longer sleeping need.",took pill bipolar disorder seem get longer term depressive mood
204,elidel,1,Ineffective,Severe Side Effects,atopic dernatitis,benefits bad side effects see,"redness, tingling, headache, skin lesions and cold sores developing in the place of application",applied dermatitis doc prescribed said redness tinging side application thought normal side affect go away kept applying diligently prescribed c couple days rash area called doctor said stop using couple days apply since might normal side effect told reapplied drug couple days redness irritation later following day cold sore developing spot affected area applying cream upper lip folds plus everything else bad headache found later could side effect medication went another dermatologist said would never prescribed medication face especially tendency develop cold sores medication serves immunosuppressant
3977,norvasc,5,Marginally Effective,No Side Effects,raynaud's disease,fingers turn white long often used however fingers still shade blue hands still cold face still changes colors throughout day pale blue red helped enough doctor prescribed 30mg nifedipine see works better,,see
3607,retin-a,5,Moderately Effective,No Side Effects,aging,felt cream helpful intitial effects seen seemed level used cream nightly wear day skin felt smooth soft first week,"some redness did occur at first.  after the the first week, the redness disappeared.  there was some sensitivity, but that too went a way.  other than that, i did not have any other side effects.",went doctor find improve skin condition rejuvenate skin sun damage long questionaire exam prescribed
2011,vicodin,3,Highly Effective,Severe Side Effects,post hemorrhoidectomy,eliminated severe pain post surgery,caused dry heave vomiting,vomiting point dry heaving acceptable one keeping medication anything ca happen two well putting kind pressure hemorrhoidectomy surgery site good thing doctor said keep taking medication think brain working dry heaves means vomited bile nothing staying still heaving nothing body reaction vicodin like poison
2670,prinivil,5,Moderately Effective,Mild Side Effects,high blood pressure,lower bp,"i'm not sure if the drugs did this, but i have severe tinnitus now, and it's driving me crazy!",definitely synthroid stopped taking could get bed tired stopped lisinopril continue take side effects except wonder ear ringing
3998,fosamax,1,Ineffective,Extremely Severe Side Effects,possible osteoporosis,benefits whatsoever change bone density took one tablet day week plenty water first thing morning stood upright next two hours prepared work side effects numerous severe continued use compounded point feared may survive year physician time refused believe insisted continue taking drug began intense research discovered alone would make every attempt save,"the side effects began with nausea and stomach pains mirroring acid reflux which even nexium could not relieve. then difficulty breathing and irregular heartbeat, extreme fatigue and body aches, finally vomiting matter resembling coffee grounds - really scary!",extensive research began complete detoxification process accompanied acupuncture believe ultimately saved life advice listen body telling aware treatments
2488,mirtazapine,2,Ineffective,Mild Side Effects,"depression, anxiety, ocd, nausea",helped easily get good sleep possible reduction ibs symptoms,"too tired to get up in morning, irritability, couldn't get drunk anymore as i would drink loads and nothing would happen.",little anything depression anxiety 15mg things got worse got angry easily went away 30mg put weight feel hungry drug thought supposed happen
1614,avage,5,Marginally Effective,Moderate Side Effects,dark spots,notice dramatic results product fairly expensive 100 one tube religious applying day might impact effectiveness notice significant fading darkest large freckles face hoped notice significant reduction wrinkles,i did not experience any burning sensations with this product in the first week or there after. the product did make my face peel significantly the following day and this occured even with the use of an exfoliating facial wash each morning.,applied product face morning evening combination typical facial sunscreen products mosterizers since product expensive made face peel tended apply dark freckles trying fade
947,betamethasone,2,Ineffective,Severe Side Effects,trochanteric bursitis,administration first injection pain decreased however period two weeks returned second injection administered improvement undesirable side effects described appeared,"two days after the 2nd injection the body weight started to increase. in the forth day it was 1.5 kg heigher. in the following four days it returned to almost normal.  during this period i felt tired and dizzy and fainted at one occasion. the blood test indicated that the concentrations of potassium and sodium were outside the normal limits (potassium too high, 5.3 mmol/l and sodium too low, 134 mmol/l), in a dangerous range. similarly to the ph, the safe range for these two ions is narrow. four days later the potassium was ok, 5.1 mmol/l albeit high, but the sodium, remained unchanged. in additional three days, the sodium was ok,136 mmol/l ,albeit low. i continued to feel tired for the next two weeks",two injections administered period two weeks
2951,zyban,2,Considerably Effective,Extremely Severe Side Effects,to quit smoking,taking zyban 3 weeks desire smoke nearly eliminated tried methods quit smoking one actually worked unfortunately severe allergic reactions medication main ingredient wellbutrin,i initially broke out in hives which became so severe i was taken off the zyban and prescribed a steroid. the allergic reaction internalized and i ended up missing 3 weeks of work do the joint immobility it caused.,impressed ability medication decreased desire want smoke side reaction severe continue using
1304,zocor,3,Considerably Effective,Moderate Side Effects,colestrol,reduced blood pressure stopped cholestrol forming arteries,my hip joints hurt so bad i can no longer go on long walks.,looking natural remedy high blood pressure control cholestrol like taking drugs feel choice time suggestions would greatly appreciated
2804,wellbutrin,5,Moderately Effective,No Side Effects,depression,long history taking drugs started high school prozac desipramine neither anything positive report college dangerous stint without treatment resumed luvox later effexor finally scariest bout leading stay hospital put wellbutrin combined rigorous therapy dbt dialectical behavioral therapy groups much personal work got head water able work eat well exercise regularly many symptoms still thought extent could rest work maybe 20 years might able feel happiness since went wellbutrin move part study treatment resistant depression recommended try cymbalta feel cymbalta actually influenced negative thinking given energy know potentially create better results keeping ones head water,"none of the previous meds i mentioned, however did a damn thing but cause me to shake, be continuously thirsty and not be able to achieve orgasm.  the wellbutrin was great in that it didn't cause any sexual side effects.  that was a relief.  the ability to reach orgasm seems as if it should me a basic right for every human being, and the emptiness that replaces the disappearance of the bodies biological ability to feel good, just doesn't seem right.  i was very adament in telling my psychiatrist that i didn't want anything that caused sexual side effects, which most anti-depressants do.  the cymbalta causes the ""emptiness""  but honestly, the improvement it has made in my mood and productivity make it worth it for now.  plus, i'm not in a meaningfully intimate relationship at the moment.  it seems to only cause and inability to reach inner orgasm however.  clitoral orgasm is still possible with vibrator and not a human being.   recently they have added a dose of wellbutrin to my regimen as an attempt to counteract the sexual side effect caused by the cymbalta.  i do not yet know if this is working (like i said, i have no boyfriend so i don't even know why i'm bothering.  really i did it to see if the addition of wellbutrin would make me feel even better.  i haven't felt much difference.",month see psychiatrist although doctors right previous one left always seem without therapist wanting take break time monetary commitment therapy demands beginning think good time go back consider jogging yoga healthy eating vitamins take part treatment
3035,seroquel,1,Ineffective,Extremely Severe Side Effects,anxiety,none,"seroquel caused severe paranoia in larger doses, severe tiredness in lower (25 50 and 100mg)doses.  paranoia was so severe, any simple noise caused erratic heart rate and rapid breathing. drug also caused an inability to move, as if being restrained or weighed down in larger doses. after two years of not taking the drug, and only a week at the highest dosage, there are still problems with low lying feelings of paranoia. ex; being afraid to go outside at night or be near a window at night or anywhere alone during the day when that was never a problem before the medication.",25mg bedtime start first week 50 75 100 150 200mg final dosage weekly increase tiredness suppose subside increased dosages really feel highly increased reverse affect made impossible sleep move even hear pin drop without thinking front glass door broken
816,ambien,1,Ineffective,No Side Effects,insomnia,none,none,went doctor getting 4 hours sleep night past 6 days gives one pill yes right one 10mg pill anyways took 10pm morning still cant sleep im review work 6am aaaaarrrgh
459,flagyl,1,Moderately Effective,Extremely Severe Side Effects,bacterial infectoin,worth cost side effects becasue miserable discontinued medication early opted conventional,"nausea, upset stomach, insomnia, and a general feeling sick.  i felt like i was going to throw up if i so much as drank water, i got very tired and week but could not sleep due to  constant dry heaving.",told take took miserable got called doctor said take dont know alergic cant wont take still took almost two days side effects go away
937,levaquin,1,Ineffective,Severe Side Effects,sinus infection,none sinus condition remained short trial levaquin resort regular,horrible nausea.. started almost immediately after taking the pills and would continue for a couple of hours.,battled sinus infection home remedies two weeks finally gave went doc said try levaquin may help specifically sinus infection took first dosage felt ill ten minutes stayed quite nauseous two hours eat cottage cheese next dose tried eating biscuit help either tried protein meat third dose results gave went back doctor got zpak
3974,norvasc,1,Highly Effective,Extremely Severe Side Effects,high blood pressure,lowered blood pressure one pill point passing severe cramping,"one does dropped his blood pressure so low that it was necessary to have him hospitalized for kidney malfunction. it caused severe cramping of the intestines due to lack of blood flow. at admittance to the er, he was put on iv to increase the blood preassure. the doctors did not believe that the norvasc could have a severe effect because the lisinopril, which ordinarily is the medication that causes severe reactions, did not effect his blood pressure. the one norvasc pill caused his blood pressure to go from 185/109 to 64/43. it is important for all doctors to realize that while drug testing can give you the general reaction of most people; it is imperative to be conscious that some patients will react in a completely unexpected way. this is a situation where the man's experience with opposite reactions to caffeine, and other ""uppers"" to the norm would have given some indication that his reactions to medications can be contra-indicated.",post emergency doctors felt reaction caused something else norvasc tested urethral artery narrowing kidney malfunction etc tests coming normal finally determined patients reaction medication unusual medication repeated
1144,grifulvin-v,5,Ineffective,No Side Effects,tinea barbae,none yet,,diagnosed fungal infection beard tinea barbae form follicular infection caused fungus hair follicle derm cultured dead skin cells mean time results pending put griseofulvin symptomns positive fungal bacterial culture also administered ruled negative similar treatment cases ringworm skin scalp griseofulvin poor absorption unless taken fatty meal take 1 500 mg tablet day 4 weeks next check completed week 2 seen signs improvement
680,accutane,2,Ineffective,Mild Side Effects,acne/oily skin,skin cleared immediately first time,dry lips.,took drug twice times 3 months 30mg day first time took skin cleared 3 days acne disappear excessively oily skin turned normal 3 days well things great time medication 1 month finishing skin returned old self acne extremely oily took second course medicine 1 year later second time dose time 30mg per day 3 months absolutely effect acne oily skin second time around still battling problem 10 years later
3422,tazorac,5,Moderately Effective,Severe Side Effects,acne,exfoliated skin,"my skin became extremely dry, irritated, red, and would peel.",use daily night wash face use toner leave dry 10 minutes apply pea size amount cream face excluding eye area let soak 15 minutes layer moisturizer must wear sunscreen daily
1674,claritin,5,Marginally Effective,Mild Side Effects,allegry,cleared head sinsus,"1rst week no sleep
after 1rst week - tired",taken daily sinsus pressure
3962,prilosec,3,Marginally Effective,Moderate Side Effects,gerd,relieved gerd symptoms,"caused severe constipation, gas, gas pains and left side pain.",dog died chest pains symptoms went doc gave sample prilosec began developed problems stopped taking two days started feeling bleh symptoms prilosec caused started go away make sure prilosec took side affects returned within hour struggling get rid symptoms withdrawal would recommend prilosec anyone
3774,metronidazole,3,Moderately Effective,Severe Side Effects,dog bite prophylaxis,apparently prevented wound infection though efficacy drug questionable causality established,"side effects were severe. consistent metallic taste in mouth, upset stomach, sleep difficulties, diarrhea, severe dizziness and anxiety. transient dry mouth. general feeling of being ""spacey"" and unfocused.",took metronidazole preclude infection puncture wound dog bite tolerate medication ceased therapy 8 days
4066,mobic,1,Marginally Effective,Extremely Severe Side Effects,pain/arthritis,medicine help pain,severe stomach issues.,prescribed medication tmj helped aleve main problem medication caused severe stomach issues told stomach issues may subside using weeks tried taking pm see would help sadly husband takes medication also works beautifully problems really helps arthritis
390,seasonale,4,Considerably Effective,Mild Side Effects,birth control,4 periods year,"had spot bleeding all the time, everyday. my period was light though. had clear skin before and have bad acne once i started taking them. get severe headaches and stomach aches. usto take depo shot and would much rather take it than seasonale. am only taking seasonale because you can only take the depo for 2 years then you have to take a one year break. so far have gained 25 plus pounds, when was on depo i lost weight.",efective pregnancy thats
1863,augmentin,2,Ineffective,Severe Side Effects,cough,noticed benefits,my son developed an allergic reaction to the drug - a red rash that spread very quickly and within 2 hours it covered his whole body,took back doctor time son diagnosed pneumonia dehydration admitted hospital immediately
537,trazodone,2,Highly Effective,Severe Side Effects,fibromyalgia,sleep,terrible pain in my upper right back below ribs and right side.,doctor believe side effects took trazaone 2 weeks started cymbalta took first trazadone terrible pain begain tested taking pain almost completely subsided scared completely stop 2 times started cymbalta cymbalta almost 2 weeks finally agreed could stop trazadone time cymbalta system continue back pains anyone share
1728,advair-hfa,3,Moderately Effective,Extremely Severe Side Effects,asthma,reduction asthma symptoms severity less shortness breath light headedness,"unfortunately with prolonged use (after about 8 years)my immune defense system in the lungs was virtually non existent.  my doctors found a plethora of 15 different bacteria, fungi and viruses in the lung, and associated the condition with either aids or cancer. things that are usually prevented by the immune system,opportunistic infections were abundant and had spread, in spite of antibiotic and antifungal use, to a sytemic infection.  nocardia siriacogeorgensis, mrsa, mac, aspergillus, pseudomonas among others were all found.  the nocardia in particualr had already caused a mild form of encephalitis.",twice daily one puff every day
2206,advair-diskus,4,Marginally Effective,Moderate Side Effects,asthma,slight initial improvement viral aggravated asthma,heart palpitations and coughing began in the second month.  these side affects continued to get worse over time.,already completed survey advair unfortunately get download due kind glitch resubmitting information
328,ativan,5,Highly Effective,Severe Side Effects,unable to sleep because of pain,helped sleep well,"upset stomach, drugged feeling all day which causes depression",given l mg ativan four months ago 2 mg delaudid quit delaudid cold turkey tried gabapentin pain made suicidal given elavil seems help pain 10 mg elavil l mg ativan upset stomach time wish doctor warned ativan side effects may okay elavil understood drugs time want desperately get ativan ca sleep without
941,levaquin,2,Ineffective,Severe Side Effects,acute sinusitis,absolutely none,"after two days on levaquin i began to notice calf muscle and tendon issues. by day three it was becoming an issue when sitting down and getting up, to the point where i thought i might rupture the achilles tendon. i had never had any issues in my lower legs before. by day four i was having a lot of trouble walking and could only shuffle around. i stopped taking the drug and requested a different antibiotic. on reading up on it, i discovered i it should never have been prescribed for me - i am 61 years old and being treated with corticosteroids for ra. it was prescribed by the er physician and my family doctor.",stopped taking drug 4 days took weeks able walk normally 3rd week plans go wedding country required wheelchair assistance three aiports went get would missed flights walk
1231,atarax,1,Ineffective,Extremely Severe Side Effects,hives,synthroid aggravated hives tremendously,"the front of my legs were hot, swollen, and rashy.",atarax prescribed hives second day started bad reaction
1802,oxycontin,4,Moderately Effective,Moderate Side Effects,post-surgical pain,pain definitely reduced high discomfort relatively low discomfort long moving also helped sleep time,"during the second and third day, it seemed to increase my post-surgical nausea. overall, in addition to drowsiness, i experienced a lot of dizziness. i'm not sure whether or not it affected my bowels returning to normal function.",first given oxycodone intravenously button allowing choose wanted dose remember amount limited total amount frequency every 15 minutes think afterwards took pill form several days decided side effects strong got hydrocodone prescription similar mild side effects retrospect wish acupunture available experienced auricular protocol several weeks later found residual pain immediately reduced none side effects
3892,dispermox,1,Ineffective,Severe Side Effects,abcessed tooth,amoxicillin little good infection abcessed tooth also skin lesion caused bacteria per doctor amoxicillin effect stayed days took antibiotic,"i had a severe allergic reaction in the form of red, extremely itchy, welps all over my body, but concentrated on my ribs, chest, and face.",reaction amoxicillin discontinued use immediately took 2 rounds benefryl rash cleared doctor prescribed much stronger antibiotic tooth pain worsening cipro
2780,clindamycin,1,Considerably Effective,Extremely Severe Side Effects,staphf infection,infection cleared week,"30 days after finishing the meds i had severe abdominal pains, and was then diagnosed with diverticulitis[hemroids of the colon i was unable to work for 3 and a half months it is now 6 years later and im about to have part of my colon removed due to inflamation of the diverticulitis , the last 6 years have been a living hell from pain to constipation and diareia i hope this works as the drug changed my life from very heathy to very sick and on my death bed twice once from anafalactic shock to the most recent,an abbsessed liver which im still dealing with so i can have my operation and see if i can get rid of the constant pain i,v been in for 6 years. i would not wish this on my worst enemy",4 times day 14 days pain
2736,elavil,4,Moderately Effective,Moderate Side Effects,"insomnia, migraines",took 25mg insomnia 3 weeks notice difference doctor prescribed 50mg still difference finally prescribed 75mg taking dosage 2 sleep little better still sleep whole night,"i would wake up and could not fall back to sleep. also, i have had an appetite out of this world. i have noticed some weight gain, dry mouth, very vivid dreams, and even periods of hallucinations, and memory loss. i also have had the worst migraines that i have ever had in my life for weeks at a time.",take one 75mg pill night
2278,lexapro,1,Ineffective,Extremely Severe Side Effects,clinical depression,treatment benefits minimal severe rage experienced think benefited taking drug,"this drug was very toxic to my system because it caused severe rage. i really was never relieved from my clinical depression because i kept hoping that the drug benefits would kick in and kept on taking it until one day i realized that i had to stop taking it. after about 2 months, i realized that i was very agitated constantly. i just thought that it would eventually go away but it never did. my nervousness was getting extreme. one day, i was in a grocery store shopping, pushing a grocery cart, and a little boy walked in front of me pushing a toy cart. i was so agitated that i had an intense desire to ram him with my shopping cart. i realized that this behavior was not me and that the lexapro was causing the severe rage. i also had a constant desire to start running down the street as fast as i could and not stop. i also couldn't sleep at night and if i was able to go to sleep finally, i would only stay asleep for a few hours. i sure hope this medication is taken off the market because it could cause some unstable patients to take other's lives from the severe rage.",medication manufactured forest pharmaceuticals subsidiary forest laboratories louis missouri given prescription taking 10 day even imagine would happened taken full dosage recommended 20 would probably hurt someone badly always suffered clinical depression taken many different medications right paxil helping depression little think need upped usual dosage effective anyway psychiatrist prescribed lexapro really believed new drug would perfect idea would cause turmoil life constant state nervousness panic attacks started get much worse thought daily routine cause anxiety realized desire shove shopping cart little boy walked front store stated report quit taking lexapro sometimes would sit sofa night want badly scream top lungs therapist told take pillow put face scream top lungs afraid neighbors would call police heard way live medication toxic realized might even taken life great faith god kill finally realized call doctor immediately next morning report lexapro also friend taking lexapro taken sometime also shows signs rage times minor infringement go state rage bad tried tell needs get lexapro thinks people intimidating one day rams car someone elses pulled front finally realize lexapro drug either really think lexapro taken market testing done would never recommend drug anyone unstable
638,seasonique,5,Moderately Effective,Moderate Side Effects,i took seasonique just  to prevent pregnancy,seasonique great birth control method instead condoms experienced spotting bleeding whole 3 months period,"when i took seasonique i was very very moody and emotional. i have naturaly good skin, and do not break out often at all. seasonique made me break out quite a bit. i am not taking seasonique for another 3 months.",seasonique taken day time 3 months
2325,lexapro,1,Ineffective,Extremely Severe Side Effects,anxiety depression,absolutely none drug destroyed marriage irrationally angry really stupid stuff raging husband reason made marriage crazy point separated divorced told drug cause anger perfectly normal people like speed cocaine would pull drug market,irrational rage. it has nothing to do with my mental state but the fact that the drug does this to everyone. you have to let it build up in your system because your body is trying to reject a poison. you become addicted. no different than cocaine or speed freaks. it is such a lie.,day drooling slept could sleep edgy time brain fog nobody knew crazy damn drug making crazy told stupid shrink needed calmer gave speed told getting irrationally upset doubled dose seriously depressed screwed emotionally physically three years want sue drug company comments blog written drug reps
1023,vyvanse,4,Moderately Effective,Severe Side Effects,"sggression, hyperactivity",far sad say side effects worse want continue drug longer hope side effects decrease,"trouble sleeping, more hostile behavior, emotional frustration, even more decreased appetite.",changed adderall xr vyvanse change doctors ohio california hoping lasting effects vyvanse less side effects verdict still
2904,tramadol,3,Highly Effective,Severe Side Effects,pain relief (glenohumeral instability correction),virtually pain,"mental numbness, feebleness, lethargy, depression, cognitive dysfunction.",due mentioned side effects stopped tramadol two days opted pain paracetamol
1454,cymbalta,4,Moderately Effective,Moderate Side Effects,depression,benifit taking drug decrease symptoms depression anxiety addition drug suppress libido opposite increase sexual desire,side effects were many.  there was a decrease in energy levels and dizzines.  there was weight gain. at the end of the 30 days period the feelings of depression were still an issue,treatment consisted taking 30mg every morning thirty days also started exercise program increase endorphins levels brain doctor suggested fifteen minutes sunshine day thirty days period follow consisted answering questions positive negative effects drug reviewing answers determined needed higher dosage symptoms depression still issue increase dosage 30mg 60mg still end thirty days mo change symptoms finally switch another medication far worked fine
3259,noroxin,1,Highly Effective,Extremely Severe Side Effects,prostatitis,bacterial infection prostate quickly controlled immediately,"after taking norfloxacin, i developed severe peripheral neuropathy. this has lasted for 18 months, and still remains. the peripheral neuropathy is now treated with lyrica",norfloxacin treatment given whilst hospital continued returning home
1238,asacol,3,Marginally Effective,Moderate Side Effects,ulcerative colitis,less frequent well duration time lasted less noticed help amount bowl movements help stop internal bleeding,"nausea, cramping, abdominal pain were just some of the bigger side effects. sometimes the stomach pain was so painful it was worse then an actual flare-up.",stopped taking asacol intense stomach pain caused well nausea found taking asacol decrease side effects outweighed benefits
2213,alendronate,3,Marginally Effective,Moderate Side Effects,bone density tests showed early osteo.,limited amount taken new bone density showed slight improvement ie 2 years ago spine,"the feeling of a lump in my throat, due to reflux.  had to take meds to counteract.  muscle pain, leg cramps, joint pain. ibs. i plan to stop taking it, and research natural ways to manage bone loss.",bone density studies done every two years slight improvement 10 years still normal bone density
2534,lamisil,5,Considerably Effective,No Side Effects,yeast,noticable supposed clear yeast body feeling bloated kept getting yeast infections colonics lady told abundance yeast makes sense cuz drink lot beer eat healthy,none,take one tablet day two weeks also supposed eat lot yogurt take pro biotic pill affects noticible idea whether really yeast growth whether thing beneficial
2678,prinivil,1,Moderately Effective,Severe Side Effects,high blood pressure,positive effects blood pressure moderately controlled,"i wanted to switch from atenolol because of concerns it would increase insulin resistance. so my dr. prescribed lisinopril and told me to take it for 3 weeks to see if it was going to be effective. after 3 weeks it was effective but i started noticing that gradually when i laid down to sleep at night, it felt like there was lots of mucous in my throat. then the tickle started in my throat which made me feel like gagging. then my voice was affected. it became hoarse and i noticed my throat felt soar. i searched on the internet and read about side effects from ace inhibitors and realized i was being negatively affected by the drug. i stopped the drug, but it has taken over a month to completely overcome the negative side effects.",take one 20 mg per day
3879,levoxyl,4,Marginally Effective,Severe Side Effects,hypothyroidism,sure levothyroxine helped normalise hormone levels kind strange back range stopped taking,"sudden and enormous increase in appetite, weight gain, i gained 10 kg, my belly seemed inflated all the time; 
constipation;
mood swings;",supposed increase low production thyroid hormones result hypothyroidism well help lower number antithyroid antibodies indicate autoimmune disease may damaging thyroid gland levothyroxine 25 mcg taken minutes breakfast daily almolst 2 years doctor told take long live however levels thyroid hormones changed dramatically stopped taking absolutely normal range showed need anymore
2845,singulair,1,Considerably Effective,Severe Side Effects,asthma - repeated chest infections,montelukast stopped constant recession leading repeated hospital admissions,"aggressive behaviour - hitting me dad and herself badly
bad dreams
confusion
hallucination
irritability
restlessness
sleepwalking
tremors
trouble sleeping 
oral pain
stomach pain
diarrhea
constantl tugging at ears4
no appetite
clammy

these are all symptoms reported to her gp and consultant after 1 month of treatment",take montelukast every day take clenil inhaled 2 puffs 2 times day take salbutamol needed
2899,dilaudid,1,Highly Effective,Extremely Severe Side Effects,headaches,drug treatments stopped headaches,the patient died.,shunt replacement patient fine operation replacement took place noon five clock morning next day died skin mottled emesis mouth half hour nurse caring reported fine sleeping four hours operation fine watching television joking visitors included father code resusitation called 30 minutes code team ceased operations
2578,klonopin,1,Ineffective,Severe Side Effects,panic disorder,none,blurred vision; inability to function on daily basis; 100% grogginess 24/7.,incorrectly diagnosed panic attacks 20 yrs 20 yrs xanax alprazolam prescribed worked great 100 effective put clonazepam worst feeling ever 2 mg daily extreme tiredness could function daily activities dropped 1mg per script effect taking 2mg prescribed effect since learned clonazepam sedative medication would recommend anyone
3138,malarone,5,Highly Effective,Moderate Side Effects,anti malarial,get malaria,prescribed to my husband and i on our honeymoon in vietnam and cambodia.  on day 4 we both experienced waves of strong abdominal pain every hour or so accompanied by a need to go to the toilet with diarrhoea (but it was non-urgent need to go to the loo - like a normal upset tummy can be).,initially believing normal holiday tummy upset starved nearly 4 days also hungry waves pain significantly subside triggered drinking water arrived hotel vietnam internet access looked lonelyplanet blogs advice malarone make sure follow medication instruction leaflet letter take milky drink began take breakfast many dairy products could yoghurt cheese milk cereal etc symptoms subsided pain ceased couple days continued violent liquid bowel movements another week would help leaflet explained dairy recommended fat required alkaline environment
3325,tetracycline,2,Moderately Effective,Moderate Side Effects,acne,help clear acne infections helped skin somewhat improve,"the side effects included sun sensitivity, upset stomach, tiredness",put medication pediatrician unfortunately think poor job following treatment think antibiotics strong treatment acne
1684,claritin,2,Marginally Effective,Moderate Side Effects,seasonal allergies,reduction allergy less nasal congestion itchiness eyes reduced,"within 72 hours after starting the medication, realized i was experiencing progressively more intense lower back pain-lower back pain-- as though i was being punched in the kidneys- read the contraindictions which noted potential for back pain and made the ocnnection to the medication.",discontinued use within 24 hours thew side effects subsiding completely resolved within 3 days
2927,tramadol,3,Moderately Effective,Moderate Side Effects,inflamation at the femoral nerve,lessened pain associated inflamation,"a red rash appeared every where on the body after two weeks ... especially leg and hands..
after taking showers, the rash was more marked... it was not itchy.",took tramal first two weeks switched tramada since pharmacy anymore tramal available due apparition rash treatment stopped suggestion skin doctor
4130,chantix,1,Considerably Effective,Moderate Side Effects,quit smoking,smoking,"-headaches
-nausea ( as well as vomiting)
-mild depression
-extreme hunger
-insomnia",product taken per manufacturer pharmacist doctor instructions effective reducing desire smoke accompanied bouts nausea headaches insomnia mild depression etc although symptoms surface approximately third week use need vigilante unusual symptoms report doctor product effective controling urge smoke always desire quit must present well one must weigh side effects possible health risks drug stop smoking measures may less risks may less expensive
3638,retin-a,4,Moderately Effective,Moderate Side Effects,flat warts,skin cell turnover increases,painful skin sloughing,flat warts face prescribed retin dermatologist started every day 2 weeks increased use daily skin area improve however painful chapped skin would crack hurt moderate improvement seen return condition stopping treatment
1830,yasmin,1,Highly Effective,Extremely Severe Side Effects,controceptive; help with pmsd,prevented pregnancy experience benifits whatsoever,"consistent regular flow menses for the entire 2 months; hormonal inconsistency- felt sad, mood swings. the side effects were so extrme, it frightened me and prevented me from ever taking another oral controceptive.",put low doasage doctor advised prescribe additional hormones balance levels opted taking anymore
2532,lamisil,1,Marginally Effective,No Side Effects,toenail fungus,see change condition toenail quarter left great toenail affected taking drug 12 weeks physician recommended another 12 week course however insurance company would cover extended treatment could afford cost lamisil perhaps positive effect would realized able continue treatment,none,take drug 12 weeks liver function studies performed experience untowards side effects taken medication ther prescribed 12 weeks miss doses time
1540,vagifem,1,Highly Effective,Severe Side Effects,vaginal dryness and urinary tract infections,using vagifem first 18 months brilliant increased lubrication stopped continual urethral soreness passing water made everything feel normal,"during the first 18 months i noticed slight water retention when i used it, and my hot flushes also came back to a lesser degree. 

then recently i got a new batch of vagifem, and i had a horrible allergic reaction - dizziness, sinus pain, severe palpitations and panic. my eyes, hands and feet went really puffy and it made my vagina and urinary tract really sore. 

i've since tried another new batch with the same problems. this is so disappointing. i've gone back to an older batch with no problems (except that i've now run out!). 

the manufacturers have changed something, and i wish they would change it back to the original formulation.",25mcg twice week
1381,biaxin,1,Ineffective,Severe Side Effects,inner ear infection,stop taking medicine 4 days due side effects,"severe stomach cramping along with frequent visits to the bathroom.  i have had this experience with every type of this medicine: z-pack (zithromycin), arithromycin, and now the clarithroymcin.  my doctor said the side effects with the clarithromycin are much less compared to the other types and i found this to be false.  with all the above mentioned medicines, i've always started to get stomach problems on the fourth day.",stopped taking medicine side effects appeared
712,accutane,5,Highly Effective,Extremely Severe Side Effects,cystic acne,drug cleared skin even reduced redness scarring acne first last treatment,"severe sexual side effects began about 2 months into the trial including pain during intercourse, soreness lasting as long as 24 hours followed by periods as long as 2 weeks or more where intercourse was impossible due to intense pain upon penetration, vaginal dryness, and the inability to have a vaginal orgasm.  i also had overall skin dryness, but using a daily moisturizer and medicated chapstick made this very manageable.",treatment began two 40mg tablets twice day reduced day first month due extremely dry skin sexual side effects began month 2 dermatologist suggested using personal lubricant sex never needed treatment began problem would clear finished treatment began treatment febuary 2007 finished september problem dry skin cleared rapidly continue struggle sexual side effects june 2008 treating vaginal dryness counter product called replens since january 2008 helped considerably causes constant vaginal discharge able sex ever weeks yet experience vaginal orgasm
3087,minocycline,3,Marginally Effective,Severe Side Effects,acne,think treatment might improved acne somewhat always returned stayed drug several years along using topical medications using many prescriptions really know helped always still acne treatment,"chronic yeast infections leading to daily use of nystatin, yogurt, suppliments, etc.  especially since treatment spanned high school and college years, the effect of having recurring yeast infections was particularly worrisome.  i also did not know when i was prescribed nystatin to deal with the yeast infections from minocycline that the nystatin could have negative long-term effects on my liver.",teens took minocycline several times day many years also using various topical medications point also took different antibiotics bactrim nothing really worked also trying suppliments teas meditation changes diet exercise routine order try get rid acne eventually wound using accutane also work
2654,diclofenac,2,Moderately Effective,Moderate Side Effects,knee pain/inflamation,seemed reduce pain inflamation although still experienced increased pain inflamation physical therapy increased activity,i became very depressed.  it began as crankiness and then crying and then not wanting to leave my room or continue my pt.,realizing little upset condition began ask questions depression pharmacist decided discontinue contact doctor
